"SPI","Mean_Accuracy","p_value_bonferroni","significant","Directionality","Literature_category","Module"
"anm",68.4166666666667,0,TRUE,"Directed","causal","M02"
"bary_dtw_max",71.5,0,TRUE,"Undirected","distance","M14"
"bary_dtw_mean",50.3333333333333,0,TRUE,"Undirected","distance","M09"
"bary_euclidean_max",68.1666666666667,0,TRUE,"Undirected","distance","M14"
"bary_sgddtw_max",68.5,0,TRUE,"Undirected","distance","M14"
"bary_sgddtw_mean",55.5,0,TRUE,"Undirected","distance","M09"
"bary_softdtw_max",77.1666666666667,0,TRUE,"Undirected","distance","M14"
"bary_softdtw_mean",57.25,0,TRUE,"Undirected","distance","M09"
"cce_gaussian",88.1666666666667,0,TRUE,"Directed","infotheory","M03"
"cce_kernel_W-0.5",84.4166666666667,0,TRUE,"Directed","infotheory","M03"
"cce_kozachenko",91.75,0,TRUE,"Directed","infotheory","M03"
"ccm_E-10_max",88.3333333333333,0,TRUE,"Directed","causal","M14"
"ccm_E-10_mean",88.0833333333333,0,TRUE,"Directed","causal","M14"
"ccm_E-1_max",70.75,0,TRUE,"Directed","causal","M14"
"ccm_E-1_mean",77.5,0,TRUE,"Directed","causal","M14"
"ccm_E-None_max",88.25,0,TRUE,"Directed","causal","M14"
"ccm_E-None_mean",87.6666666666667,0,TRUE,"Directed","causal","M14"
"cds",54,0,TRUE,"Directed","causal","M02"
"ce_gaussian",77.1666666666667,0,TRUE,"Undirected","infotheory","M14"
"ce_kernel_W-0.5",72.5833333333333,0,TRUE,"Undirected","infotheory","M14"
"ce_kozachenko",48.8333333333333,0,TRUE,"Undirected","infotheory","M14"
"cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5",50.8333333333333,0,TRUE,"Undirected","spectral","M12"
"cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25",73,0,TRUE,"Undirected","spectral","M12"
"cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5",74.5,0,TRUE,"Undirected","spectral","M12"
"cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",51.9166666666667,0,TRUE,"Undirected","spectral","M12"
"cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25",82.25,0,TRUE,"Undirected","spectral","M12"
"cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5",72.6666666666667,0,TRUE,"Undirected","spectral","M12"
"coint_aeg_tstat_trend-c_autolag-aic_maxlag-10",50,0,TRUE,"Undirected","misc","M13"
"coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10",49.75,0,TRUE,"Undirected","misc","M13"
"coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10",51.6666666666667,0,TRUE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-0_ardiff-1",75.1666666666667,0,TRUE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-0_ardiff-10",40.25,0,TRUE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-1_ardiff-1",74.9166666666667,0,TRUE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-1_ardiff-10",42.3333333333333,0,TRUE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-0_ardiff-1",76.5833333333333,0,TRUE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-0_ardiff-10",44.4166666666667,0,TRUE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-1_ardiff-1",78.0833333333333,0,TRUE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-1_ardiff-10",41.3333333333333,0,TRUE,"Undirected","misc","M13"
"cov_EllipticEnvelope",83.4166666666667,0,TRUE,"Undirected","basic","M14"
"cov_EmpiricalCovariance",88.0833333333333,0,TRUE,"Undirected","basic","M14"
"cov_GraphicalLasso",87.6666666666667,0,TRUE,"Undirected","basic","M14"
"cov_GraphicalLassoCV",85.1666666666667,0,TRUE,"Undirected","basic","M14"
"cov_LedoitWolf",85.8333333333333,0,TRUE,"Undirected","basic","M14"
"cov_MinCovDet",80.4166666666667,0,TRUE,"Undirected","basic","M14"
"cov_OAS",87.5,0,TRUE,"Undirected","basic","M14"
"cov_ShrunkCovariance",89.0833333333333,0,TRUE,"Undirected","basic","M14"
"dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",77.3333333333333,0,TRUE,"Directed","spectral","M06"
"dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25",86,0,TRUE,"Directed","spectral","M06"
"dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5",84.9166666666667,0,TRUE,"Directed","spectral","M06"
"dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",79.5,0,TRUE,"Directed","spectral","M06"
"dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",82.5,0,TRUE,"Directed","spectral","M06"
"dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",81.75,0,TRUE,"Directed","spectral","M06"
"dcorr",80.4166666666667,0,TRUE,"Undirected","distance","M14"
"dcorr_biased",81.0833333333333,0,TRUE,"Undirected","distance","M14"
"dcorrx_maxlag-1",86.8333333333333,0,TRUE,"Undirected","distance","M14"
"dcorrx_maxlag-10",90.25,0,TRUE,"Undirected","distance","M14"
"ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5",80.25,0,TRUE,"Directed","spectral","M06"
"ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25",85.5833333333333,0,TRUE,"Directed","spectral","M06"
