SPI,Directionality,Literature_category,Module
cov_EmpiricalCovariance,Undirected,basic,M14
cov_EllipticEnvelope,Undirected,basic,M14
cov_GraphicalLasso,Undirected,basic,M14
cov_GraphicalLassoCV,Undirected,basic,M14
cov_LedoitWolf,Undirected,basic,M14
cov_MinCovDet,Undirected,basic,M14
cov_OAS,Undirected,basic,M14
cov_ShrunkCovariance,Undirected,basic,M14
prec_EmpiricalCovariance,Undirected,basic,M14
prec_EllipticEnvelope,Undirected,basic,M14
prec_GraphicalLasso,Undirected,basic,M14
prec_GraphicalLassoCV,Undirected,basic,M14
prec_LedoitWolf,Undirected,basic,M14
prec_MinCovDet,Undirected,basic,M14
prec_OAS,Undirected,basic,M14
prec_ShrunkCovariance,Undirected,basic,M14
spearmanr,Undirected,basic,M14
kendalltau,Undirected,basic,M14
xcorr_max_sig-True,Undirected,basic,M10
xcorr_mean_sig-True,Undirected,basic,M14
xcorr_mean_sig-False,Undirected,basic,M14
dcorr,Undirected,distance,M14
dcorr_biased,Undirected,distance,M14
mgc,Undirected,distance,M14
hsic,Undirected,distance,M14
hsic_biased,Undirected,distance,M14
hhg,Undirected,distance,M14
mgcx_maxlag-1,Undirected,distance,M14
mgcx_maxlag-10,Undirected,distance,M14
dcorrx_maxlag-1,Undirected,distance,M14
dcorrx_maxlag-10,Undirected,distance,M14
dtw,Undirected,distance,M10
dtw_constraint-itakura,Undirected,distance,M10
dtw_constraint-sakoe-chiba,Undirected,distance,M10
softdtw,Undirected,distance,M10
softdtw_constraint-itakura,Undirected,distance,M10
softdtw_constraint-sakoe-chiba,Undirected,distance,M10
lcss,Undirected,distance,M10
lcss_constraint-itakura,Undirected,distance,M10
lcss_constraint-sakoe-chiba,Undirected,distance,M10
bary_euclidean_max,Undirected,distance,M14
bary_dtw_mean,Undirected,distance,M09
bary_dtw_max,Undirected,distance,M14
bary_sgddtw_mean,Undirected,distance,M09
bary_sgddtw_max,Undirected,distance,M14
bary_softdtw_mean,Undirected,distance,M09
bary_softdtw_max,Undirected,distance,M14
anm,Directed,causal,M02
cds,Directed,causal,M02
reci,Directed,causal,M14
igci,Directed,causal,M03
ccm_E-1_mean,Directed,causal,M14
ccm_E-1_max,Directed,causal,M14
ccm_E-10_mean,Directed,causal,M14
ccm_E-10_max,Directed,causal,M14
je_gaussian,Undirected,infotheory,M14
je_kozachenko,Undirected,infotheory,M14
je_kernel_W-0.5,Undirected,infotheory,M14
ce_gaussian,Undirected,infotheory,M14
ce_kozachenko,Undirected,infotheory,M14
ce_kernel_W-0.5,Undirected,infotheory,M14
cce_kozachenko,Directed,infotheory,M03
cce_kernel_W-0.5,Directed,infotheory,M03
si_gaussian_k-1,Undirected,infotheory,M05
si_kozachenko_k-1,Undirected,infotheory,M14
si_kernel_W-0.5_k-1,Undirected,infotheory,M14
mi_gaussian,Undirected,infotheory,M14
mi_kraskov_NN-4,Undirected,infotheory,M14
mi_kraskov_NN-4_DCE,Undirected,infotheory,M14
mi_kernel_W-0.25,Undirected,infotheory,M14
tlmi_gaussian,Undirected,infotheory,M14
tlmi_kraskov_NN-4,Undirected,infotheory,M14
tlmi_kraskov_NN-4_DCE,Undirected,infotheory,M14
tlmi_kernel_W-0.25,Undirected,infotheory,M14
te_kraskov_NN-4_k-max-10_tau-max-4,Directed,infotheory,M04
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,Directed,infotheory,M04
te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,Directed,infotheory,M04
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,Directed,infotheory,M04
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,Directed,infotheory,M04
te_kernel_W-0.25_k-1,Directed,infotheory,M14
gc_gaussian_k-max-10_tau-max-2,Directed,infotheory,M05
gc_gaussian_k-1_kt-1_l-1_lt-1,Directed,infotheory,M05
te_symbolic_k-1_kt-1_l-1_lt-1,Directed,infotheory,M05
te_symbolic_k-10_kt-1_l-1_lt-1,Directed,infotheory,M05
phi_star_t-1_norm-0,Undirected,infotheory,M05
phi_star_t-1_norm-1,Undirected,infotheory,M05
phi_Geo_t-1_norm-0,Undirected,infotheory,M05
phi_Geo_t-1_norm-1,Undirected,infotheory,M05
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M01
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M01
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M01
phase_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M10
phase_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M10
phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M10
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M12
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M12
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M12
icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M12
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,Directed,spectral,M01
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,Directed,spectral,M01
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M01
plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M10
plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M10
plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M10
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M10
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M14
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M01
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M01
pli_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M07
pli_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M07
pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M07
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M14
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M01
wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M01
wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M07
wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M07
