SPI,Smartwatch activity accuracy,EEG state accuracy,fMRI film accuracy
anm,0.684166667,0.495904437,0.637931034
bary_dtw_max,0.715,0.575312856,0.775862069
bary_dtw_mean,0.503333333,0.505005688,0.534482759
bary_euclidean_max,0.681666667,0.641751991,0.896551724
bary_sgddtw_max,0.685,0.591353811,0.672413793
bary_sgddtw_mean,0.555,0.504778157,0.551724138
bary_softdtw_max,0.771666667,0.583276451,0.620689655
bary_softdtw_mean,0.5725,0.50967008,0.568965517
cce_gaussian,0.881666667,0.693856655,0.827586207
cce_kernel_W-0.5,0.844166667,0.602502844,0.896551724
cce_kozachenko,0.9175,0.628555176,0.724137931
ccm_E-10_max,0.883333333,0.626052332,0.862068966
ccm_E-10_mean,0.880833333,0.618657565,0.862068966
ccm_E-1_max,0.7075,0.602957907,0.844827586
ccm_E-1_mean,0.775,0.61774744,0.810344828
ccm_E-None_max,0.8825,0.621274175,0.862068966
ccm_E-None_mean,0.876666667,0.628668942,0.862068966
cds,0.54,0.549488055,0.534482759
ce_gaussian,0.771666667,0.626166098,0.913793103
ce_kernel_W-0.5,0.725833333,0.621729238,0.879310345
ce_kozachenko,0.488333333,0.563822526,0.793103448
cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.508333333,0.571786121,0.620689655
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.73,0.535722412,0.517241379
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.745,0.507281001,0.620689655
cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.519166667,0.599544937,0.689655172
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.8225,0.564391354,0.810344828
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.726666667,0.589761092,0.706896552
coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.5,0.598407281,0.74137931
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.4975,0.606370876,0.74137931
coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.516666667,0.560864619,0.586206897
coint_johansen_max_eig_stat_order-0_ardiff-1,0.751666667,0.648122867,0.603448276
coint_johansen_max_eig_stat_order-0_ardiff-10,0.4025,0.628555176,0.689655172
coint_johansen_max_eig_stat_order-1_ardiff-1,0.749166667,0.646188851,0.603448276
coint_johansen_max_eig_stat_order-1_ardiff-10,0.423333333,0.629806598,0.689655172
coint_johansen_trace_stat_order-0_ardiff-1,0.765833333,0.639249147,0.689655172
coint_johansen_trace_stat_order-0_ardiff-10,0.444166667,0.636405006,0.586206897
coint_johansen_trace_stat_order-1_ardiff-1,0.780833333,0.639931741,0.689655172
coint_johansen_trace_stat_order-1_ardiff-10,0.413333333,0.639590444,0.586206897
cov_EllipticEnvelope,0.834166667,0.629465301,0.913793103
cov_EmpiricalCovariance,0.880833333,0.632992036,0.862068966
cov_GraphicalLasso,0.876666667,0.619567691,0.862068966
cov_GraphicalLassoCV,0.851666667,0.619340159,0.862068966
cov_LedoitWolf,0.858333333,0.629010239,0.862068966
cov_MinCovDet,0.804166667,0.637201365,0.931034483
cov_OAS,0.875,0.620819113,0.862068966
cov_ShrunkCovariance,0.890833333,0.627645051,0.862068966
dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.773333333,0.577133106,0.689655172
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.86,0.626962457,0.603448276
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.849166667,0.627872582,0.603448276
dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.795,0.667576792,0.655172414
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.825,0.678156997,0.637931034
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.8175,0.674971559,0.672413793
dcorr,0.804166667,0.652787258,0.879310345
dcorr_biased,0.810833333,0.652901024,0.879310345
dcorrx_maxlag-1,0.868333333,0.649374289,0.844827586
dcorrx_maxlag-10,0.9025,0.663367463,0.913793103
ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8025,0.637997725,0.672413793
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.855833333,0.593515358,0.551724138
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.848333333,0.590671217,0.551724138
ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.849166667,0.67440273,0.620689655
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.8325,0.637997725,0.603448276
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.833333333,0.651535836,0.689655172
di_gaussian,0.850833333,0.689647327,0.862068966
di_kernel_W-0.5,0.825,0.657110353,0.844827586
di_kozachenko,0.754166667,0.615699659,0.793103448
dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.284166667,,
dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.385833333,,
dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3025,,
dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.416666667,0.563253697,0.568965517
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.65,0.58850967,0.5
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.609166667,0.570875995,0.5
dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.345833333,,
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.378333333,,
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.291666667,,
