"Problem","group","Sample_ID","SPI","Node_from","Node_to","value"
"Smartwatch activity","Running","Train_11","cce_kozachenko","Gyroscope_z","Accelerometer_x",0.108611438351942
"Smartwatch activity","Running","Test_11","cce_kozachenko","Gyroscope_z","Accelerometer_x",0.705508423103533
"Smartwatch activity","Running","Test_12","cce_kozachenko","Gyroscope_z","Accelerometer_x",-0.321345772439333
"Smartwatch activity","Running","Test_13","cce_kozachenko","Gyroscope_z","Accelerometer_x",-0.397835588361212
"Smartwatch activity","Running","Test_14","cce_kozachenko","Gyroscope_z","Accelerometer_x",1.55976935795544
"Smartwatch activity","Running","Test_15","cce_kozachenko","Gyroscope_z","Accelerometer_x",-0.757046703502106
"Smartwatch activity","Running","Test_16","cce_kozachenko","Gyroscope_z","Accelerometer_x",-0.218239195224644
"Smartwatch activity","Running","Test_17","cce_kozachenko","Gyroscope_z","Accelerometer_x",1.0200240390896
"Smartwatch activity","Running","Test_18","cce_kozachenko","Gyroscope_z","Accelerometer_x",0.48693876903928
"Smartwatch activity","Running","Test_19","cce_kozachenko","Gyroscope_z","Accelerometer_x",1.73303117663749
"Smartwatch activity","Running","Test_20","cce_kozachenko","Gyroscope_z","Accelerometer_x",1.07078480502745
"Smartwatch activity","Walking","Test_21","cce_kozachenko","Gyroscope_z","Accelerometer_x",3.80227482906724
"Smartwatch activity","Walking","Test_22","cce_kozachenko","Gyroscope_z","Accelerometer_x",4.94236687533466
"Smartwatch activity","Walking","Test_23","cce_kozachenko","Gyroscope_z","Accelerometer_x",2.64401796759753
"Smartwatch activity","Walking","Test_24","cce_kozachenko","Gyroscope_z","Accelerometer_x",3.86766500413948
"Smartwatch activity","Walking","Test_25","cce_kozachenko","Gyroscope_z","Accelerometer_x",4.33541008967844
"Smartwatch activity","Walking","Test_26","cce_kozachenko","Gyroscope_z","Accelerometer_x",4.8458825891373
"Smartwatch activity","Walking","Test_27","cce_kozachenko","Gyroscope_z","Accelerometer_x",4.12603261432821
"Smartwatch activity","Walking","Test_28","cce_kozachenko","Gyroscope_z","Accelerometer_x",6.15996068834548
"Smartwatch activity","Walking","Test_29","cce_kozachenko","Gyroscope_z","Accelerometer_x",3.62580604432972
"Smartwatch activity","Walking","Test_30","cce_kozachenko","Gyroscope_z","Accelerometer_x",3.6183743653316
"Smartwatch activity","Running","Train_12","cce_kozachenko","Gyroscope_z","Accelerometer_x",-0.289181809527724
"Smartwatch activity","Running","Train_13","cce_kozachenko","Gyroscope_z","Accelerometer_x",0.205507998547107
"Smartwatch activity","Running","Train_14","cce_kozachenko","Gyroscope_z","Accelerometer_x",0.114634881347937
"Smartwatch activity","Running","Train_15","cce_kozachenko","Gyroscope_z","Accelerometer_x",-0.0225092258125524
"Smartwatch activity","Running","Train_16","cce_kozachenko","Gyroscope_z","Accelerometer_x",-0.482148853585507
"Smartwatch activity","Running","Train_17","cce_kozachenko","Gyroscope_z","Accelerometer_x",1.31111683590948
"Smartwatch activity","Running","Train_18","cce_kozachenko","Gyroscope_z","Accelerometer_x",-0.158968692119368
"Smartwatch activity","Running","Train_19","cce_kozachenko","Gyroscope_z","Accelerometer_x",0.294040283670288
"Smartwatch activity","Running","Train_20","cce_kozachenko","Gyroscope_z","Accelerometer_x",1.09220926896487
"Smartwatch activity","Walking","Train_21","cce_kozachenko","Gyroscope_z","Accelerometer_x",4.61668616261887
"Smartwatch activity","Walking","Train_22","cce_kozachenko","Gyroscope_z","Accelerometer_x",2.77464042227415
"Smartwatch activity","Walking","Train_23","cce_kozachenko","Gyroscope_z","Accelerometer_x",3.95629862208231
"Smartwatch activity","Walking","Train_24","cce_kozachenko","Gyroscope_z","Accelerometer_x",3.45062818944861
"Smartwatch activity","Walking","Train_25","cce_kozachenko","Gyroscope_z","Accelerometer_x",4.16280394405997
"Smartwatch activity","Walking","Train_26","cce_kozachenko","Gyroscope_z","Accelerometer_x",3.2507794916148
"Smartwatch activity","Walking","Train_27","cce_kozachenko","Gyroscope_z","Accelerometer_x",4.46470526532784
"Smartwatch activity","Walking","Train_28","cce_kozachenko","Gyroscope_z","Accelerometer_x",3.75495766825574
"Smartwatch activity","Walking","Train_29","cce_kozachenko","Gyroscope_z","Accelerometer_x",5.0397505346309
"Smartwatch activity","Walking","Train_30","cce_kozachenko","Gyroscope_z","Accelerometer_x",4.92099899539462
"EEG state","negativity","Test_144","cce_gaussian","Channel_2","Channel_1",-1.88771080842831
"EEG state","positivity","Test_1","cce_gaussian","Channel_2","Channel_1",-3.66181001516966
"EEG state","negativity","Test_10","cce_gaussian","Channel_2","Channel_1",-3.58639704542363
"EEG state","positivity","Test_100","cce_gaussian","Channel_2","Channel_1",-3.42089485717466
"EEG state","negativity","Test_101","cce_gaussian","Channel_2","Channel_1",-1.04902021730729
"EEG state","negativity","Test_102","cce_gaussian","Channel_2","Channel_1",-2.7197103397853
"EEG state","negativity","Test_103","cce_gaussian","Channel_2","Channel_1",-3.21085759728686
"EEG state","negativity","Test_104","cce_gaussian","Channel_2","Channel_1",-4.28471170343536
"EEG state","positivity","Test_105","cce_gaussian","Channel_2","Channel_1",-6.07848280150566
"EEG state","positivity","Test_106","cce_gaussian","Channel_2","Channel_1",-4.37870625979693
"EEG state","positivity","Test_107","cce_gaussian","Channel_2","Channel_1",-4.47252931283867
"EEG state","positivity","Test_108","cce_gaussian","Channel_2","Channel_1",-3.0789018008035
"EEG state","negativity","Test_109","cce_gaussian","Channel_2","Channel_1",-4.02816995367265
"EEG state","negativity","Test_11","cce_gaussian","Channel_2","Channel_1",-5.55139629298251
"EEG state","positivity","Test_110","cce_gaussian","Channel_2","Channel_1",-3.60401087487474
"EEG state","positivity","Test_111","cce_gaussian","Channel_2","Channel_1",-4.77530143398302
"EEG state","negativity","Test_112","cce_gaussian","Channel_2","Channel_1",-2.88746545873274
"EEG state","negativity","Test_113","cce_gaussian","Channel_2","Channel_1",-2.37458372011119
"EEG state","positivity","Test_114","cce_gaussian","Channel_2","Channel_1",-4.09969910235734
"EEG state","positivity","Test_115","cce_gaussian","Channel_2","Channel_1",-3.52350249845314
"EEG state","negativity","Test_116","cce_gaussian","Channel_2","Channel_1",-1.01070411372846
"EEG state","positivity","Test_117","cce_gaussian","Channel_2","Channel_1",-4.60714403278927
"EEG state","negativity","Test_118","cce_gaussian","Channel_2","Channel_1",-2.41804349293321
"EEG state","positivity","Test_119","cce_gaussian","Channel_2","Channel_1",-3.66239077625251
"EEG state","negativity","Test_12","cce_gaussian","Channel_2","Channel_1",-4.26072273970145
"EEG state","positivity","Test_120","cce_gaussian","Channel_2","Channel_1",-3.70024823573916
"EEG state","negativity","Test_121","cce_gaussian","Channel_2","Channel_1",-1.41464732968841
"EEG state","negativity","Test_122","cce_gaussian","Channel_2","Channel_1",-3.71810710414195
"EEG state","positivity","Test_123","cce_gaussian","Channel_2","Channel_1",-3.09059421530464
"EEG state","negativity","Test_124","cce_gaussian","Channel_2","Channel_1",-2.24297950734393
"EEG state","positivity","Test_125","cce_gaussian","Channel_2","Channel_1",-4.39957876519219
"EEG state","negativity","Test_126","cce_gaussian","Channel_2","Channel_1",-3.96289973907258
"EEG state","negativity","Test_127","cce_gaussian","Channel_2","Channel_1",-1.11987722730081
"EEG state","positivity","Test_128","cce_gaussian","Channel_2","Channel_1",-3.29332198863284
"EEG state","positivity","Test_129","cce_gaussian","Channel_2","Channel_1",-4.00441328692225
"EEG state","positivity","Test_13","cce_gaussian","Channel_2","Channel_1",-4.41095537802496
"EEG state","negativity","Test_130","cce_gaussian","Channel_2","Channel_1",-6.71126378538917
