spi,category
anm,causal
bary_dtw_max,distance
bary_dtw_mean,distance
bary_euclidean_max,distance
bary_sgddtw_max,distance
bary_sgddtw_mean,distance
bary_softdtw_max,distance
bary_softdtw_mean,distance
cce_gaussian,infotheory
cce_kernel_W-0.5,infotheory
cce_kozachenko,infotheory
ccm_E-10_max,causal
ccm_E-10_mean,causal
ccm_E-1_max,causal
ccm_E-1_mean,causal
ccm_E-None_max,causal
ccm_E-None_mean,causal
cds,causal
ce_gaussian,infotheory
ce_kernel_W-0.5,infotheory
ce_kozachenko,infotheory
cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,misc
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,misc
coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,misc
coint_johansen_max_eig_stat_order-0_ardiff-1,misc
coint_johansen_max_eig_stat_order-0_ardiff-10,misc
coint_johansen_max_eig_stat_order-1_ardiff-1,misc
coint_johansen_max_eig_stat_order-1_ardiff-10,misc
coint_johansen_trace_stat_order-0_ardiff-1,misc
coint_johansen_trace_stat_order-0_ardiff-10,misc
coint_johansen_trace_stat_order-1_ardiff-1,misc
coint_johansen_trace_stat_order-1_ardiff-10,misc
cov_EllipticEnvelope,basic
cov_EmpiricalCovariance,basic
cov_GraphicalLasso,basic
cov_GraphicalLassoCV,basic
cov_LedoitWolf,basic
cov_MinCovDet,basic
cov_OAS,basic
cov_ShrunkCovariance,basic
dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
dcorr,distance
dcorr_biased,distance
dcorrx_maxlag-1,distance
dcorrx_maxlag-10,distance
ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
di_gaussian,infotheory
di_kernel_W-0.5,infotheory
di_kozachenko,infotheory
dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
dtw,distance
dtw_constraint-itakura,distance
dtw_constraint-sakoe-chiba,distance
gc_gaussian_k-1_kt-1_l-1_lt-1,infotheory
gc_gaussian_k-max-10_tau-max-2,infotheory
gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,spectral
gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,spectral
gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,spectral
gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
gpfit_DotProduct,misc
gpfit_RBF,misc
hhg,distance
hsic,distance
hsic_biased,distance
icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
igci,causal
je_gaussian,infotheory
je_kernel_W-0.5,infotheory
je_kozachenko,infotheory
kendalltau,basic
lcss,distance
lcss_constraint-itakura,distance
lcss_constraint-sakoe-chiba,distance
lmfit_BayesianRidge,misc
lmfit_ElasticNet,misc
lmfit_Ridge,misc
lmfit_SGDRegressor,misc
mgc,distance
mgcx_maxlag-1,distance
mgcx_maxlag-10,distance
mi_gaussian,infotheory
mi_kernel_W-0.25,infotheory
mi_kraskov_NN-4,infotheory
mi_kraskov_NN-4_DCE,infotheory
pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
pec,spectral
pec_log,spectral
pec_orth,spectral
pec_orth_abs,spectral
pec_orth_log,spectral
pec_orth_log_abs,spectral
phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
phase_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
phase_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
phi_Geo_t-1_norm-0,infotheory
phi_Geo_t-1_norm-1,infotheory
phi_star_t-1_norm-0,infotheory
phi_star_t-1_norm-1,infotheory
pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
pli_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
pli_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
